ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type,External IDs
258013376,"3131 W 7TH ST, STE 100 FT WORTH, TX 76107",BLUE SUSHI SAKE,32.751019,-97.362763,250,Dallas Tansportation ,,Normal Geofence,
258013377,"6916 Camp Bowie Blvd, Fort Worth, TX 76116",FORT WORTH RAMEN LAB,32.72043,-97.436217,250,Dallas Tansportation ,,Normal Geofence,
258013378,"3801 N Grove St, Fort Worth, TX 76106",Ft Worth Meat Packers,32.812463,-97.347532,250,Dallas Tansportation ,,Normal Geofence,
258013379,"4616 Denton Hwy suit 45, Fort Worth, TX 76117",GOLDFISH SUSHI,32.830701,-97.263832,250,Dallas Tansportation ,,Normal Geofence,
258013380,"9100 N FWY STE 120, FORT WORTH, TX 76177",HANABI,32.903639,-97.315648,250,Dallas Tansportation ,,Normal Geofence,
258013381,"3204 Camp Bowie Blvd, Fort Worth, TX 76107",HANABI RAMEN & IZAKAYA,32.750851,-97.363388,250,Dallas Tansportation ,,Normal Geofence,
258013383,"902 FOCH ST, FORT WORTH, TX 76107",HATSUYUKI,32.750043,-97.356972,250,Dallas Tansportation ,,Normal Geofence,
258013384,"8445 CAMP BOWIE W BLVD, FORT WORTH, TX 76116",JAPANESE PALACE,32.723685,-97.462994,250,Dallas Tansportation ,,Normal Geofence,
258013386,"2813 RACE ST FORTH WORTH, TX 76111",KINGYO SUSHI AND RAMEN,32.773337,-97.305594,250,Dallas Tansportation ,,Normal Geofence,
258013387,"5801 Kroger Dr, Keller, TX 76244",Kroger Keller,32.913134,-97.26526,250,Dallas Tansportation ,,Normal Geofence,
258013388,"8933 TEHAMA RIDGE PKWY, FORT WORTH, TX 76177",KYUSHU,32.902678,-97.323683,250,Dallas Tansportation ,,Normal Geofence,
258013389,"6100 CAMP BOWIE BLVD, FORT WORTH, TX 76116",LITTLE LILLY SUSHI,32.729173,-97.41574,250,Dallas Tansportation ,,Normal Geofence,
258013390,"2901 FAIR DR SUITE 100, FORT WORTH, TX 76131",MKS SUSHI RESTAURANT,32.862427,-97.317968,250,Dallas Tansportation ,,Normal Geofence,
258013391,"1107 Como St S, Sulphur Springs, TX 75482",Morning Star Foods,33.12371,-95.587247,250,Dallas Tansportation ,,Normal Geofence,
258013392,"6548 LAKE WORTH BLVD, LAKE WORTH, TX 76135",MULAN JAPANESE KITCHEN,32.81235,-97.429548,250,Dallas Tansportation ,,Normal Geofence,
258013393,"6399 Camp Bowie Blvd, Fort Worth, TX 76116",SAKURA SUSHI FORTH WORTH,32.724531,-97.42176,250,Dallas Tansportation ,,Normal Geofence,
258013394,"808 Shannon Rd E, Sulphur Springs, TX 75482",Saputo Dairy Farm,33.121612,-95.581256,250,Dallas Tansportation ,,Normal Geofence,
258015448,"Sushi Axiom, 3211 Oak Lawn Ave ste c, Dallas, TX 75219",SUSHI AXIOM - Dallas,32.810318,-96.808334,250,Dallas Tansportation ,,Normal Geofence,
258013395,"4625 DONNELLY AVE SUITE 101, FORT WORTH, TX 76107",SUSHI AXIOM - Ft Worth,32.728846,-97.38921,250,Dallas Tansportation ,,Normal Geofence,
258013396,"2600 WEST 7TH #100, FORTH WORTH, TX 76017",SUSHI AXIOM #4,32.751536,-97.353433,250,Dallas Tansportation ,,Normal Geofence,
258013397,"2100 Danieldale Rd, Lancaster, TX 75134",UNFI -Lancaster,32.638316,-96.798606,250,Dallas Tansportation ,,Normal Geofence,
258013398,"2740 WESTERN CERNTER BLVD # 516, FORTH WORTH, TX 76017",WABI SABI SUSHI,32.860617,-97.319948,250,Dallas Tansportation ,,Normal Geofence,
258013399,"5443 S HULEN ST FORTH WORTH, TX 6132-2261",WASABI SUSHI & JAPANESE R,32.669544,-97.399052,250,Dallas Tansportation ,,Normal Geofence,
258013400,"1015 E BRDway St, Winnsboro, TX 75494",Daily Farmers of America (DFA,32.957494,-95.273505,250,Dallas Tansportation ,DFA,Normal Geofence,
258013401,"3901 SCIENTIFIC DR Arlington, TX 76014",McLane Foodservice,32.681092,-97.077231,250,Dallas Tansportation ,,Normal Geofence,
276885369,"10550 RAY RD, SAINT AUGUSTINE, 32095",A D NEASE HIGH SCHOOL,29.811855,-81.337514,250,Freedom Fresh,,Normal Geofence,
276885370,"1335 NE 1ST, ALACHUA, FL 32641",A.L.MEBANE MIDDLE,29.652902,-82.307712,250,Freedom Fresh,,Normal Geofence,
276885371,"1001 SE 12TH ST, GAINESVILLE, FL, 32641",ABRAHAM LINCOLN MIDDLE,29.643192,-82.30788,250,Freedom Fresh,,Normal Geofence,
276883526,"2274 S SEMORAN BLVD, ORLANDO, FL, 32822",ACCELERATION ACADEMY EAST,28.517938,-81.311746,250,Freedom Fresh,,Normal Geofence,
276883527,"2751 LAKE STANLEY RD, ORLANDO, FL, 32818",ACCELERATION ACADEMY WEST,28.580064,-81.494875,250,Freedom Fresh,,Normal Geofence,
276885372,"13800 NW 152ND PL, ALACHUA, 32615",ALACHUA COUNTY ELEMENTARY,29.794832,-82.492196,250,Freedom Fresh,,Normal Geofence,
276885373,"3440 NORTHEAST 39TH AVE, GAINESVILLE, 32609",ALACHUA JUVENILE DETENT,29.678725,-82.271548,250,Freedom Fresh,,Normal Geofence,
276885374,"11100 WEST STATE RD 235, ALACHUA, 32615",ALACHUA LEARNING CENTER,29.813712,-82.464645,250,Freedom Fresh,,Normal Geofence,
276885375,"230 LANDRUM LANE, PONTE VEDRA, 32082",ALICE B. LANDRUM MIDDLE,30.16422,-81.391398,250,Freedom Fresh,,Normal Geofence,
276883528,"2949 SCARLET RD, WINTER PARK, FL, 32792",ALOMA ELEMENTARY,28.598307,-81.308534,250,Freedom Fresh,,Normal Geofence,
276885376,"�815 Co Rd 351, CROSS CITY, 32628",ANDERSON ELEMENTARY SCH,29.624199,-83.130301,250,Freedom Fresh,,Normal Geofence,
276883529,"3100 SANCTUARY POINT BLVD, ORLANDO, FL, 32825",ANDOVER ELEMENTARY,28.507086,-81.222868,250,Freedom Fresh,,Normal Geofence,
258015305,"4135 Belt Line Rd, Addison, TX 75001",ANIME POP,32.9549,-96.841339,250,Freedom Fresh,,Normal Geofence,
276885377,"9501 NE JACKSONVILLE RD, ANTHONY, 32617",ANTHONY ELEMENTARY,29.289047,-82.109587,250,Freedom Fresh,,Normal Geofence,
276885378,"650 TROJAN TRAIL, TALLAHASSEE, 32311",APALACHEE ELEMENTARY,30.439843,-84.217603,250,Freedom Fresh,,Normal Geofence,
276883530,"311 VICK RD, APOPKA, FL, 32712",APOPKA ELEMENTARY,28.684739,-81.524812,250,Freedom Fresh,,Normal Geofence,
276883531,"555 W MARTIN ST, APOPKA, FL, 32712",APOPKA HIGH,28.693486,-81.521927,250,Freedom Fresh,,Normal Geofence,
276883532,"425 N PARK AVE, APOPKA, FL, 32712",APOPKA MEMORIAL MIDDLE,28.685835,-81.508122,250,Freedom Fresh,,Normal Geofence,
276883533,"2900 LONGANDALE DR, ORLANDO, FL, 32817",ARBOR RIDGE K-8,28.587273,-81.254156,250,Freedom Fresh,,Normal Geofence,
276885379,"700 S GIBSON, ARCHER, 32618",ARCHER COUNTY COMMUNITY E,29.529968,-82.518997,250,Freedom Fresh,,Normal Geofence,
276885380,"2310 NE 24TH ST, OCALA, 34470","ARNETTE HOUSE, INC",29.210594,-82.106008,250,Freedom Fresh,,Normal Geofence,
276885381,"2465 ATLAS RD, TALLAHASSEE, 32303",ASTORIA PARK ELEMENTARY,30.476046,-84.321981,250,Freedom Fresh,,Normal Geofence,
258013410,"800 War Eagle Blvd, Titusville, FL 32796",ASTRONAUT HIGH,28.624991,-80.850983,250,Freedom Fresh,,Normal Geofence,
276885382,"1205 ATLANTIC AVE, FERNANDINA, 32034",ATLANTIC ELEMENTARY,30.67162,-81.453652,250,Freedom Fresh,,Normal Geofence,
258013411,"7300 Briggs Ave, Port St John, FL 32927",Atlantis Elementary,28.487508,-80.796039,250,Freedom Fresh,,Normal Geofence,
276883534,"11000 ATWATER BAY DR, WINTER GARDEN, FL, 34787",ATWATER BAY ELEMENTARY,28.413756,-81.651047,250,Freedom Fresh,,Normal Geofence,
258013412,"4701 HUNTSVILLE AVE, NORTH PORT,FL,34288",Atwater Elementary,27.063582,-82.108187,250,Freedom Fresh,,Normal Geofence,
258013413,"1 BLOOKHOUND TRAIL, AUBURNDALE, FL 33823",AUBURNDALE SENIOR HIGH,28.072176,-81.785413,250,Freedom Fresh,,Normal Geofence,
258013414,"1201 N Banana River Dr, Merritt Island, FL 32952",AUDUBON ELEM,28.378316,-80.671423,250,Freedom Fresh,,Normal Geofence,
276883535,"1500 FALCON DR, ORLANDO, FL, 32803",AUDUBON PARK K-8,28.566657,-81.346435,250,Freedom Fresh,,Normal Geofence,
276883536,"13500 TANJA KING BLVD, ORLANDO, FL, 32828",AVALON ELEMENTARY,28.511198,-81.148909,250,Freedom Fresh,,Normal Geofence,
276883537,"13914 MAILER BLVD, ORLANDO, FL, 32828",AVALON MIDDLE,28.500329,-81.152921,250,Freedom Fresh,,Normal Geofence,
258013415,"7855 22ND AVE, N, ST PETERSBURG, FL 33710",AZALEA MIDDLE,27.794036,-82.746495,250,Freedom Fresh,,Normal Geofence,
276883538,"1 CAROL AVE, ORLANDO, FL, 32807",AZALEA PARK ELEMENTARY,28.544331,-81.313396,250,Freedom Fresh,,Normal Geofence,
276883539,"1750 COMMON WAY RD, ORLANDO, FL, 32814",BALDWIN PARK ELEMENTARY,28.565798,-81.333087,250,Freedom Fresh,,Normal Geofence,
276885383,"2050 ROBERTS RD, ST JOHNS, 32259",BARTRAM TRAIL HIGH SCHO,30.059753,-81.60907,250,Freedom Fresh,,Normal Geofence,
276883540,"12005 SILVERLAKE PARK DR, ORLANDO, FL, 34786",BAY LAKE ELEMENTARY,28.442305,-81.564512,250,Freedom Fresh,,Normal Geofence,
276883541,"9150 S APOPKA VINELAND RD, ORLANDO, FL, 32836",BAY MEADOWS ELEMENTARY,28.434176,-81.505983,250,Freedom Fresh,,Normal Geofence,
276885384,"2771 E BELL AVE, BELL, 32619",BELL ELEMENTARY SCHOOL,29.751622,-82.855312,250,Freedom Fresh,,Normal Geofence,
276885385,"930 S MAIN ST, BELL, 32619",BELL HIGH SCHOOL,29.751703,-82.86015,250,Freedom Fresh,,Normal Geofence,
276885386,"5545 TERRE PARKWAY, PALM COAST, 32137",BELLE TERRE ELEMENTARY,29.625068,-81.218835,250,Freedom Fresh,,Normal Geofence,
276885387,"5556 SE AGNEW RD, BELLEVIEW, 34420",BELLEVIEW ELEMENTARY,29.053041,-82.056532,250,Freedom Fresh,,Normal Geofence,
276885388,"10400 SE 36TH AVE, BELLEVIEW, 34420",BELLEVIEW HIGH,29.073008,-82.091096,250,Freedom Fresh,,Normal Geofence,
276885389,"10500 SE 36TH AVE, BELLEVIEW, 34420",BELLEVIEW MIDDLE,29.069226,-82.087506,250,Freedom Fresh,,Normal Geofence,
276885390,"9600 S US HWY 441, BELLEVIEW, 34420",BELLEVIEW-SANTOS ELEMEN,29.082248,-82.079484,250,Freedom Fresh,,Normal Geofence,
276885391,"1476 SW WALTER AVE, LAKE CITY, 32024",BELMONT ACADEMY ELEMENT,30.073408,-82.680073,250,Freedom Fresh,,Normal Geofence,
276885392,"5149 SW CR 240, LAKE CITY, 32024",BELMONT ACADEMY SECONDA,30.072286,-82.681203,250,Freedom Fresh,,Normal Geofence,
276883542,"2500 S MILLS AVE, ORLANDO, FL, 32806",BLANKNER SCHOOL K-8,28.514744,-81.364922,250,Freedom Fresh,,Normal Geofence,
276885393,"2204 SAXON ST, TALLAHASSEE, 32310",BOND ELEMENTARY,30.418369,-84.294694,250,Freedom Fresh,,Normal Geofence,
